V1,ID,longitude,latitude,x,y,clay,silt,sand,CRFVOL,soC,N,Avail_N,pHiHXO,pHiKCl,FC,WP,AWC,soil_depth
206063,8011791,29.2083333333,64.5416666667,605902.00784045,7159218.84327659,6.47033678475073,31.2068126322859,62.6706128524522,12.5688192965621,130.654607869811,4.91600798038726,65.2737622070313,50.28381147223,48.2636160123146,309.431290971472,101.851721499829,207.579569471643,199.754237288136
206064,8011792,29.2916666667,64.5416666667,609896.990597041,7159360.56520499,5.7498068494245,29.0951600823521,65.5299930099613,12.4525283230238,112.23103698226,4.25014503942717,62.3747892167833,50.3772314087418,47.6102849471668,313.288004183988,102.264555624866,211.023448559122,199.96694214876
206065,8011793,29.375,64.5416666667,613891.826696244,7159507.5364063,5.78726448500452,30.7308242419534,63.8132743835449,11.7610696524628,128.425593983043,4.04117256204287,60.3403509902954,50.1972032972604,47.2472982800696,317.30636622111,103.115719922384,214.190646298726,199.98347107438
206066,8011794,29.4583333333,64.5416666667,617886.510801065,7159659.75691461,6.76962737406581,32.0286329285172,61.5646002903458,11.8136863077968,109.937236376045,3.74271532405507,55.143513446384,50.3909039457967,46.6485962985961,317.107881303267,105.625894303755,211.481986999512,199.834710743802
206067,8011795,29.5416666667,64.5416666667,621881.037573546,7159817.22676517,6.54385722478231,31.9935974280039,61.809418296814,11.6755658864975,113.554161453247,4.19895298574485,59.9176529693604,50.468651453654,47.0093492825826,318.448036343444,108.976580526315,209.471455817129,199.633333333333
206068,8011796,29.625,64.5416666667,625875.401660357,7159979.94599386,6.33131548961004,31.7339528560638,62.2508547782898,11.9470597823461,129.194709078471,4.62914156690936,66.5781428527832,50.1781167666117,46.878423722585,315.858900408879,110.027411915432,205.831488493447,199.008333333333
206069,8011797,29.7083333333,64.5416666667,629869.597721519,7160147.91463826,7.30254224903327,33.3856780785174,59.6126617242482,11.962011203293,124.287953778732,4.80840929523929,63.5109894646539,50.3982970182561,46.9384795890367,315.501392071064,108.166472214919,207.334919856145,197.438016528926
206070,8011798,29.7916666667,64.5416666667,633863.620415994,7160321.13273715,6.95837882333551,32.149232281141,61.2336049671015,11.8558757403665,126.543126823488,4.25432559679139,61.5402747344971,50.1661556023212,46.7554980506582,317.070191293393,110.581119681304,206.489071612089,195.388429752066
206071,8011799,29.875,64.5416666667,637857.464387269,7160499.60032983,7.1983003338178,31.4981950759888,61.6536594390869,12.2390331586202,118.183355267843,3.9725310911826,55.4564921485053,50.4472365697225,47.4826048533122,316.580762390697,111.031991171181,205.548771219516,197.608333333333
206072,8011800,29.9583333333,64.5416666667,641851.12429208,7160683.31745737,6.45298203949101,31.2634260477113,62.5715864512546,12.1966167245029,101.35605656017,4.08918059183204,57.7095853805542,50.4882917482991,46.7363634345945,314.447357443105,111.685957402768,202.761400040337,196.537190082645
